DATE,DAY_OF_WEEK,AIRLINE_CODE,AIRLINE_COMPANY,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,AIRPORT,CITY,STATE,LATITUDE,LONGITUDE,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED
2015-04-07,2,EV,Atlantic Southeast Airlines,4900,N759EV,FWA,DTW,Fort Wayne International Airport,Fort Wayne,IN,40.97847,-85.19515,13:40:00,13:35:00,23:55:00,00:56:00,0 days 00:48:00,0 days 00:30:00,128,876,863.0,-13.0,0,0
2015-01-24,6,AS,Alaska Airlines Inc.,611,N413AS,LAS,SEA,McCarran International Airport,Las Vegas,NV,36.08036,-115.15233,19:10:00,18:58:00,23:48:00,02:35:00,0 days 02:35:00,0 days 02:11:00,867,1305,1293.0,-12.0,0,0
2015-07-08,3,WN,Southwest Airlines Co.,1483,N463WN,OAK,SEA,Oakland International Airport,Oakland,CA,37.72129,-122.22072,06:30:00,06:26:00,23:56:00,01:50:00,0 days 01:46:00,0 days 01:32:00,672,500,492.0,-8.0,0,0
2015-05-26,2,WN,Southwest Airlines Co.,193,N7745A,STL,DAL,St. Louis International Airport at Lambert Field,St Louis,MO,38.74769,-90.35999,08:10:00,10:43:00,02:33:00,01:40:00,0 days 01:39:00,0 days 01:25:00,546,590,742.0,152.0,0,1
2015-07-06,1,UA,United Air Lines Inc.,253,N213UA,IAH,HNL,George Bush Intercontinental Airport,Houston,TX,29.98047,-95.33972,10:00:00,10:08:00,00:08:00,08:18:00,0 days 08:08:00,0 days 07:41:00,3904,798,796.0,-2.0,0,0
2015-09-14,1,DL,Delta Air Lines Inc.,1381,N977DL,HSV,ATL,Huntsville International Airport,Huntsville,AL,34.64045,-86.77311,18:00:00,18:16:00,00:16:00,01:10:00,0 days 00:49:00,0 days 00:28:00,151,1210,1205.0,-5.0,0,0
2015-09-13,7,UA,United Air Lines Inc.,1459,N26210,IAH,TPA,George Bush Intercontinental Airport,Houston,TX,29.98047,-95.33972,13:57:00,13:58:00,00:01:00,02:17:00,0 days 02:00:00,0 days 01:40:00,787,1034,1018.0,-16.0,0,0
2015-06-22,1,AS,Alaska Airlines Inc.,656,N523AS,SEA,PHX,Seattle-Tacoma International Airport,Seattle,WA,47.44898,-122.30931,11:20:00,11:16:00,23:56:00,02:51:00,0 days 02:43:00,0 days 02:25:00,1107,851,839.0,-12.0,0,0
2015-12-15,2,AA,American Airlines Inc.,1,N794AA,JFK,LAX,John F. Kennedy International Airport (New York International Airport),New York,NY,40.63975,-73.77893,09:00:00,08:52:00,23:52:00,06:25:00,0 days 06:21:00,0 days 05:41:00,2475,745,733.0,-12.0,0,0
2015-10-26,1,F9,Frontier Airlines Inc.,711,N210FR,GTR,RDM,Golden Triangle Regional Airport,Columbus-Starkville-West Point,MS,33.45033,-88.59137,07:25:00,07:34:00,00:09:00,04:09:00,0 days 03:42:00,0 days 03:24:00,1607,574,556.0,-18.0,0,0
2015-01-16,5,WN,Southwest Airlines Co.,2513,N8640D,MHT,BWI,Manchester-Boston Regional Airport,Manchester,NH,42.93452,-71.43706,05:45:00,05:41:00,23:56:00,01:55:00,0 days 01:32:00,0 days 01:12:00,377,460,433.0,-27.0,0,0
2015-07-20,1,WN,Southwest Airlines Co.,2258,N8618N,MCO,SJU,Orlando International Airport,Orlando,FL,28.42889,-81.31603,15:00:00,14:59:00,23:59:00,02:55:00,0 days 02:37:00,0 days 02:25:00,1189,1075,1056.0,-19.0,0,0
2015-02-05,4,WN,Southwest Airlines Co.,335,N7752B,LAS,SMF,McCarran International Airport,Las Vegas,NV,36.08036,-115.15233,12:00:00,11:59:00,23:59:00,01:35:00,0 days 01:27:00,0 days 01:04:00,397,815,806.0,-9.0,0,0
2015-09-24,4,WN,Southwest Airlines Co.,156,N736SA,TPA,BNA,Tampa International Airport,Tampa,FL,27.97547,-82.53325,12:55:00,12:52:00,23:57:00,01:45:00,0 days 01:44:00,0 days 01:18:00,612,820,816.0,-4.0,0,0
2015-01-30,5,US,US Airways Inc.,1982,N554UW,DFW,CLT,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,32.89595,-97.0372,05:05:00,04:58:00,23:53:00,02:23:00,0 days 02:26:00,0 days 01:56:00,936,508,504.0,-4.0,0,0
2015-03-25,3,EV,Atlantic Southeast Airlines,2574,N673AE,DFW,CAE,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,32.89595,-97.0372,20:20:00,20:19:00,23:59:00,02:11:00,0 days 02:09:00,0 days 01:47:00,922,1411,1408.0,-3.0,0,1
